STT;Mảng nội dung;;Nội dung câu hỏi;Phương án A;Phương án B;Phương án C;Phương án D;Đáp án đúng;Văn bản tham chiếu/ thuyết minh;Điều khoản;;;;;;;;;;;;;;;
11;VII.2.Kỹ năng số cho người lao động;VII.2;Một nhân viên nhận được email từ địa chỉ gần giống email nội bộ, yêu cầu cung cấp thông tin đăng nhập để “cập nhật hệ thống”. Hành vi phù hợp nhất là gì?;Thực hiện theo hướng dẫn để tránh gián đoạn công việc;Chuyển tiếp email cho đồng nghiệp để xác minh;Báo cáo bộ phận IT/An toàn thông tin và không cung cấp thông tin;Trả lời email yêu cầu xác nhận lại danh tính người gửi;C;Đây là tình huống tấn công giả mạo (phishing). Nguyên tắc đúng là không tương tác và báo cáo.;Phù hợp yêu cầu nâng cao nhận thức ATTT tại Nghị quyết 57-NQ/TW và quy định kiểm soát an toàn thông tin tại TT09/2020/NHNN (điều 7);;;;;;;;;;;;;;;
12;VII.2.Kỹ năng số cho người lao động;VII.2;Một nhân viên ngân hàng thường xuyên làm việc từ xa bằng laptop cá nhân. Khi sử dụng, nhân viên này không cập nhật hệ điều hành, không cài phần mềm bảo mật và thường kết nối Wi-Fi công cộng để truy cập hệ thống nội bộ. Tình huống này phản ánh thiếu hụt kỹ năng số nào dưới đây?;Kỹ năng sử dụng công cụ làm việc số;Kỹ năng bảo mật thiết bị và nhận thức an toàn thông tin;Kỹ năng phân tích dữ liệu;Kỹ năng quản lý dự án CNTT;B;Người lao động cần có nhận thức về bảo mật thiết bị, bao gồm cập nhật hệ thống, sử dụng phần mềm bảo mật và tránh kết nối mạng không an toàn. Đây là một phần quan trọng của kỹ năng số cơ bản trong ngân hàng.;Nhận thức an toàn thông tin và quản lý vận hành hệ thống theo Thông tư 09/2020/TT-NHNN: Điều 7, 20, 25.;;;;;;;;;;;;;;;
13;VII.2.Kỹ năng số cho người lao động;VII.2;Một nhân viên sử dụng cùng một mật khẩu cho nhiều hệ thống khác nhau. Nguy cơ lớn nhất là gì?;Nhân viên dễ bị nhầm lẫn và quên mật khẩu do đăng nhập vào quá nhiều hệ thống cùng lúc;Gây ra hiện tượng xung đột dữ liệu giữa các nền tảng, làm giảm hiệu suất vận hành của hệ thống thông tin;"
Hệ thống bảo mật của tổ chức sẽ tự động xóa tài khoản của nhân viên nếu phát hiện có sự trùng lặp mật khẩu";Một hệ thống bị lộ thông tin dẫn đến nguy cơ tất cả các hệ thống còn lại đều bị chiếm quyền truy cập (tấn công lây lan);D;"Luật Bảo vệ dữ liệu cá nhân 
Luật An toàn thông tin mạng 2015";"Điều 19, Luật Bảo vệ dữ liệu cá nhân (Năm 2024/2025 - cập nhật 2026);
Điều 27, Luật An toàn thông tin mạng 2015;
TCVN 11290-1:2016 (tương đương ISO/IEC 27001): Tại mục kiểm soát truy cập (Access Control), tiêu chuẩn này yêu cầu người dùng phải tuân thủ các thực hành an toàn về mật khẩu. Việc tái sử dụng mật khẩu (Password Reuse) là rủi ro hàng đầu dẫn đến các cuộc tấn công Credential Stuffing (sử dụng thông tin đăng nhập bị rò rỉ từ một hệ thống kém bảo mật để tấn công hàng loạt các hệ thống quan trọng khác).";;;;;;;;;;;;;;;
14;VII.2.Kỹ năng số cho người lao động;VII.2;Một nhân viên có khả năng đọc dashboard, hiểu xu hướng và đưa ra quyết định kinh doanh dựa trên dữ liệu. Kỹ năng này phản ánh điều gì?;Kỹ năng vận hành hệ thống;Kỹ năng phân tích dữ liệu (data literacy);Kỹ năng lập trình;Kỹ năng quản lý dự án;B;Data literacy là năng lực cốt lõi trong chuyển đổi số. Việc Phát triển nguồn nhân lực số là một trong các trụ cột của chuyển đổi số quốc gia. Con người phải có năng lực sử dụng, khai thác dữ liệu và công nghệ số để tham gia chuyển đổi số (NQ 57 về nhân lực số);Nghị quyết 57-NQ/TW.;;;;;;;;;;;;;;;
15;VII.2.Kỹ năng số cho người lao động;VII.2;Trong quá trình làm việc từ xa, một nhóm dự án ngân hàng sử dụng các công cụ như Microsoft Teams hoặc Zoom để họp và trao đổi công việc. Tuy nhiên, các thành viên thường chia sẻ link họp công khai, không thiết lập mật khẩu phòng họp và không kiểm soát người tham gia, dẫn đến nguy cơ người ngoài truy cập trái phép. Kỹ năng số nào dưới đây cần được cải thiện rõ nhất trong tình huống này?;Kỹ năng sử dụng chức năng nâng cao của công cụ họp trực tuyến;Kỹ năng lập kế hoạch dự án;Kỹ năng bảo mật khi sử dụng công cụ số;Kỹ năng phân tích dữ liệu;C;Việc sử dụng công cụ số không chỉ dừng ở thao tác kỹ thuật mà còn cần đảm bảo an toàn thông tin, như thiết lập mật khẩu phòng họp, kiểm soát người tham gia và tránh chia sẻ link công khai.;Thông tư 09/2020/TT-NHNN (nhận thức ATTT và kiểm soát truy cập theo Điều 7, 28, 29);;;;;;;;;;;;;;;
16;VII.2.Kỹ năng số cho người lao động;VII.2;Một nhân viên thường xuyên bỏ qua các cảnh báo bảo mật từ hệ thống (ví dụ: cảnh báo truy cập bất thường). Điều này có thể dẫn đến hậu quả gì?;Không ảnh hưởng nếu hệ thống vẫn hoạt động;Tăng hiệu suất làm việc;Bỏ lỡ dấu hiệu tấn công hoặc truy cập trái phép;Giảm chi phí vận hành;C;Cảnh báo bảo mật là tín hiệu sớm của sự cố. Bỏ qua các tín hiệu này có thể dẫn đến tấn công nghiêm trọng.;Nguyên tắc giám sát hệ thống tại Thông tư 09/2020/NHNN. (Điều 25,20);;;;;;;;;;;;;;;
17;VII.2.Kỹ năng số cho người lao động;VII.2;Một nhân viên ngân hàng cần chia sẻ file chứa dữ liệu khách hàng cho đồng nghiệp để xử lý nghiệp vụ. Trong các cách dưới đây, đâu là phương án phù hợp nhất để đảm bảo an toàn thông tin?;Gửi file qua email cá nhân để thuận tiện truy cập từ nhiều thiết bị;Gửi file qua hệ thống email nội bộ, đặt mật khẩu cho file và xác nhận đúng người nhận trước khi gửi;Chia sẻ file qua ứng dụng nhắn tin cá nhân để gửi nhanh;Tải file lên nền tảng lưu trữ công cộng và gửi link cho đồng nghiệp;B;Việc chia sẻ dữ liệu nội bộ cần tuân thủ nguyên tắc bảo vệ dữ liệu và kiểm soát truy cập, bao gồm sử dụng kênh chính thức, xác thực người nhận và áp dụng biện pháp bảo mật như đặt mật khẩu hoặc mã hóa.;Thông tư 09/2020/TT-NHNN: Điều 24, 28, 29;;;;;;;;;;;;;;;
18;VII.3.Thích ứng nghề nghiệp;VII.3;Theo Quyết định số 757/QĐ-BKHCN ngày 29/4/2025 ban hành Khung kiến thức, kỹ năng số cơ bản và hướng dẫn đánh giá, xác nhận hoàn thành mức độ phổ cập kỹ năng số, để nâng cao khả năng đáp ứng yêu cầu của thị trường lao động hiện đại, người lao động cần biết tối thiểu nội dung gì?;Kiến thức số cơ bản;Kiến thức số nâng cao;Kỹ năng số cơ bản;Kiến thức số cơ bản và kỹ năng số cơ bản;D;Quyết định số 757/QĐ-BKHCN ngày 29/4/2025;Phụ lục 01, Mục 2;;;;;;;;;;;;;;;
19;VII.3.Thích ứng nghề nghiệp;VII.3;Theo Quyết định số 757/QĐ-BKHCN ngày 29/4/2025 ban hành Khung kiến thức, kỹ năng số cơ bản và hướng dẫn đánh giá, xác nhận hoàn thành mức độ phổ cập kỹ năng số, để thích ứng với công việc thời đại số, mỗi cán bộ nhân viên nên làm gì khi nhận thấy mình còn thiếu hụt kỹ năng công nghệ?;Học tất cả các khóa về chuyển đổi số;Tập trung các khóa AI vì đang là xu hướng;Tự đánh giá năng lực còn thiếu và tìm khóa học, hướng dẫn phù hợp;Tập trung phát triển năng lực chuyên môn;C;Quyết định số 757/QĐ-BKHCN ngày 29/4/2025;Phụ lục I.4, mục 2.b, II.5 - 5.4;;;;;;;;;;;;;;;
20;VII.3.Thích ứng nghề nghiệp;VII.3;Theo Quyết định số 757/QĐ-BKHCN ngày 29/4/2025 ban hành Khung kiến thức, kỹ năng số cơ bản và hướng dẫn đánh giá, xác nhận hoàn thành mức độ phổ cập kỹ năng số, thích ứng với môi trường làm việc số cũng bao gồm việc bảo vệ sức khỏe thể chất và tinh thần. Người lao động nên làm gì?;Ngồi nhìn màn hình liên tục 15 tiếng không nghỉ;Ngồi đúng tư thế, biết nghỉ ngơi sau khi sử dụng thiết bị lâu, biết sử dụng AI cân bằng tránh phụ thuộc quá mức, thiên kiến.;Mở màn hình sáng chói nhất để dễ đọc;Dùng kết quả của AI không cần kiểm chứng lại;B;Quyết định số 757/QĐ-BKHCN ngày 29/4/2025;Phụ lục I.1 ;;;;;;;;;;;;;;;
21;VII.3.Thích ứng nghề nghiệp;VII.3;Theo Quyết định số 757/QĐ-BKHCN ngày 29/4/2025 ban hành Khung kiến thức, kỹ năng số cơ bản và hướng dẫn đánh giá, xác nhận hoàn thành mức độ phổ cập kỹ năng số, khi tìm kiếm thông tin trên mạng hoặc dùng AI hỗ trợ công việc, thói quen nghề nghiệp nào là bắt buộc để tránh sai sót?;Tin tưởng 100% vào thông tin đầu tiên tìm được;Sao chép toàn bộ nội dung mà không cần đọc lại;Biết kiểm chứng, nhận diện, đánh giá mức độ tin cậy của nguồn thông tin.;Chỉ đọc và chia sẻ tin tức giật gân;C;Quyết định số 757/QĐ-BKHCN ngày 29/4/2025;Phụ lục I.4, mục 2.b, II.1 ;;;;;;;;;;;;;;;
22;VII.3.Thích ứng nghề nghiệp;VII.3;Theo Quyết định số 757/QĐ-BKHCN ngày 29/4/2025 ban hành Khung kiến thức, kỹ năng số cơ bản và hướng dẫn đánh giá, xác nhận hoàn thành mức độ phổ cập kỹ năng số, đối với người lao động hoạt động trong doanh nghiệp, để thích ứng và có cơ hội tiếp cận các nghề nghiệp trong thời đại công nghệ số hiện nay, người lao động cần biết/trang bị các kiến thức gì?;Biết được xu hướng chuyển đổi số trong doanh nghiệp/lĩnh vực ngành nghề hoạt động,  và nhận biết được tác động chuyển đổi số đến lĩnh vực ngành nghề hoạt động;Biết được công nghệ số đang và sẽ áp dụng phổ biến trong doanh nghiệp;Biết các công cụ AI phổ biến trong công việc, nhận thức được vai trò bổ trợ của AI và cách phối hợp hiệu quả;Tất cả các đáp án trên;D;Quyết định số 757/QĐ-BKHCN ngày 29/4/2025;Phụ lục I.4, mục 2;;;;;;;;;;;;;;;
23;VII.3.Thích ứng nghề nghiệp;VII.3;Theo Quyết định số 757/QĐ-BKHCN ngày 29/4/2025 ban hành Khung kiến thức, kỹ năng số cơ bản và hướng dẫn đánh giá, xác nhận hoàn thành mức độ phổ cập kỹ năng số, khi khai thác dữ liệu phục vụ công việc, cách làm đúng là gì?;Lưu dữ liệu có cấu trúc, dễ truy xuất, có sao lưu;Lưu rải rác trên nhiều thiết bị cá nhân;Chỉ nhớ trong đầu, không cần lưu;Xóa ngay toàn bộ dữ liệu sau khi xem;A;Quyết định số 757/QĐ-BKHCN ngày 29/4/2025;Phụ lục I.4, mục 2.b, II.1 - 1.3;;;;;;;;;;;;;;;
24;VII.3.Thích ứng nghề nghiệp;VII.3;Theo Quyết định số 757/QĐ-BKHCN ngày 29/4/2025 ban hành Khung kiến thức, kỹ năng số cơ bản và hướng dẫn đánh giá, xác nhận hoàn thành mức độ phổ cập kỹ năng số, để thích ứng/nâng cao khả năng tiếp cận nghề nghiệp, mỗi người lao động nên làm gì?;Nhận biết được những kỹ năng số còn thiếu hụt theo đặc thù nghề nghiệp, tối thiểu là các kỹ năng số cơ bản, biết tìm kiếm các khóa học, hướng dẫn phù hợp.;Chỉ học khi bị nhắc nhở hoặc kiểm tra;Tránh dùng công cụ số mới để đỡ sai;Giao toàn bộ việc học cho bộ phận IT;A;Quyết định số 757/QĐ-BKHCN ngày 29/4/2025;Phụ lục I.4, mục 2.b, II.5 - 5.4;;;;;;;;;;;;;;;
25;VII.3.Thích ứng nghề nghiệp;VII.3;Theo Quyết định số 757/QĐ-BKHCN ngày 29/4/2025 ban hành Khung kiến thức, kỹ năng số cơ bản và hướng dẫn đánh giá, xác nhận hoàn thành mức độ phổ cập kỹ năng số, để thích ứng với công việc thời đại số, Hành vi ứng xử trên không gian mạng của người lao động nên thể hiện là gì?;Giao tiếp chuyên nghiệp, văn minh, tôn trọng;Đăng thông tin nội bộ để tranh luận công khai nhằm tìm kiếm thông tin/góc nhìn đa chiều;Phản hồi, tương tác nhanh trên không gian mạng.;Chia sẻ tin cho nhiều người để lan tỏa;A;Quyết định số 757/QĐ-BKHCN ngày 29/4/2025;Phụ lục I.4, mục 2.b, II.2 - 2.5;;;;;;;;;;;;;;;
26;VII.4.Đào tạo lại, nâng cao trình độ kỹ năng chuyển đổi số,… ;VII.4 ;Theo tinh thần tại Quyết định 411/QĐ-TTg Phê duyệt Chiến lược quốc gia phát triển kinh tế số và xã hội số đến năm 2025, định hướng đến năm 2030, để hình thành xã hội số công bằng và bao trùm cần làm gì?;Đào tạo chuyên gia công nghệ cao;Phát triển kỹ năng số, công dân số, văn hóa số theo hướng phổ cập kỹ thuật số toàn diện;Xây dựng và tổ chức triển khai nền tảng quản lý nội dung học tập, nền tảng quản lý học tập quốc gia dùng chung;Tăng mạnh chỉ tiêu đào tạo các ngành công nghệ thông tin, công nghệ số, công nghệ 4.0;B;Quyết định số 411/QĐ-TTg ngày 31/03/2022;"IV.7. Kỹ năng số, công dân số và văn hóa số
""Phát triển kỹ năng số, công dân số, văn hóa số theo hướng phổ cập kỹ thuật số toàn diện để hình thành nên một xã hội số công bằng và bao trùm, khơi dậy tiềm năng, sự tự hào Việt Nam và niềm tin của người dân trên không gian số.""";;;;;;;;;;;;;;;
27;VII.4.Đào tạo lại, nâng cao trình độ kỹ năng chuyển đổi số,… ;VII.4 ;"Theo Quyết định 1938/QĐ-NHNN ngày 28/04/2025, nhiệm vụ xây dựng Chương trình ""Học từ làm việc thực tế"", trong đó liên kết doanh nghiệp để xây chương trình đào tạo phục vụ chuyển đổi số là của ai?";Các Tổ chức tín dụng;Học viện ngân hàng và Trường Đại học ngân hàng TP.HCM;Ngân hàng nhà nước;Các Doanh nghiệp;B;Quyết định 1938/QĐ-NHNN ngày 28/04/2025;Phụ lục, mục II.5.2 (Đơn vị chủ trì);;;;;;;;;;;;;;;
28;VII.4.Đào tạo lại, nâng cao trình độ kỹ năng chuyển đổi số,… ;VII.4 ;Theo Quyết định 1938/QĐ-NHNN ngày 28/04/2025, mục tiêu cốt lõi của hoạt động đào tạo, bồi dưỡng kỹ năng số đối với cán bộ ngành ngân hàng là gì?;Trang bị kiến thức lý thuyết về công nghệ thông tin cơ bản;Giúp cán bộ hiểu đúng, nắm vững kiến thức và sử dụng thành thạo các nền tảng, công cụ, dịch vụ số phục vụ công việc;Tập trung đào tạo chuyên sâu về lập trình và phát triển phần mềm;Đào tạo kỹ năng quản lý dự án CNTT cho cán bộ lãnh đạo;B;Quyết định 1938/QĐ-NHNN ngày 28/04/2025;Mục I. Mục tiêu;;;;;;;;;;;;;;;
29;VII.4.Đào tạo lại, nâng cao trình độ kỹ năng chuyển đổi số,… ;VII.4 ;Theo định hướng phát triển xã hội số tại Quyết định số 749/QĐ-TTg, đối tượng nào cần được nâng cao nhận thức, kỹ năng về chuyển đổi số?;Cán bộ;Công viên chức;Người lao động;Tất cả đều đúng;D;Quyết định số 749/QĐ-TTg ngày 03/6/2020;Điều 1. Mục V.9.;;;;;;;;;;;;;;;
30;VII.4.Đào tạo lại, nâng cao trình độ kỹ năng chuyển đổi số,… ;VII.4 ;Theo Quyết định số 3580/QĐ-NHNN ngày 03/11/2025, cần làm gì để nâng cao kỹ năng về xây dựng, quản lý và sử dụng dữ liệu an toàn, hiệu quả?;Ứng dụng AI xây dựng hệ thống quản lý dữ liệu;Thiết lập cơ chế đào tạo liên tục, kết hợp thực tiễn và tăng cường hợp tác quốc tế về khoa học công nghệ và đổi mới sáng tạo;Xây dựng các chương trình đi đào tạo tại nước ngoài;Hoàn thiện hành lang pháp lý về dữ liệu, bảo vệ dữ liệu cá nhân;B;Quyết định số 3580/QĐ-NHNN (Chiến lược Dữ liệu ngành Ngân hàng);Điều 1. Mục IV.2.7;;;;;;;;;;;;;;;
31;VII.4.Đào tạo lại, nâng cao trình độ kỹ năng chuyển đổi số,… ;VII.4 ;Tại Quyết định số 749/QĐ-TTg, Reskilling (Đào tạo lại) một trong các nhiệm vụ cốt lõi của nội dung nào?;Phát triển xã hội số;Phát triển công nghệ số;Phát triển Kinh tế số;Tất cả đều sai;A;Quyết định số 749/QĐ-TTg ngày 03/6/2020;Điều 1. Mục VII.2;;;;;;;;;;;;;;;
32;VII.4.Đào tạo lại, nâng cao trình độ kỹ năng chuyển đổi số,… ;VII.4 ;Theo Quyết định số 757/QĐ-BKHCN ngày 29/4/2025 ban hành Khung kiến thức, kỹ năng số cơ bản và hướng dẫn đánh giá, xác nhận hoàn thành mức độ phổ cập kỹ năng số, hình thức đánh giá nào sau đây được khuyến nghị để đánh giá mức độ phổ cập kỹ năng số?;Tổ chức các lớp học tập trung dài ngày;Hạn chế học tập online vì sợ rủi ro;Sử dụng công cụ số hóa: Sử dụng các nền tảng trực tuyến hoặc phần mềm để tổ chức bài kiểm tra và phân tích kết quả tự động, kết hợp với trí tuệ nhân tạo để đưa ra báo cáo chi tiết.;Ngừng đào tạo nghiệp vụ chuyên môn, tập trung đào tạo chuyên sâu về công nghệ;C;Quyết định số 757/QĐ-KHCN ngày 29/04/2025;Phụ lục 2. Mục II, khoản 1;;;;;;;;;;;;;;;
33;VII.4.Đào tạo lại, nâng cao trình độ kỹ năng chuyển đổi số,… ;VII.4 ;Theo Quyết định số 749/QĐ-TTg ngày 03/06/2020 của Thủ tướng phê duyệt “chương trình chuyển đổi số quốc gia đến năm 2025, định hướng đến năm 2030”, một trong những giải pháp phát triển xã hội số là gì?;"Xây dựng thị trường thương mại điện tử lành mạnh có tính cạnh tranh và phát triển bền vững, trong đó hỗ trợ ứng dụng rộng rãi thương mại điện tử trong doanh nghiệp và cộng đồng;";Xây dựng chương trình nâng cao nhận thức, đào tạo kỹ năng về chuyển đổi số, phát triển Chính phủ số cho cán bộ, công chức, viên chức và người lao động trong cơ quan nhà nước;Nghiên cứu, xây dựng các khu thử nghiệm dành cho doanh nghiệp công nghệ theo mô hình tiên tiến của thế giới để tiên phong thử nghiệm công nghệ mới nhất, mô hình mới nhất trên thế giới;Triển khai các chương trình đào tạo, đào tạo lại kỹ năng lãnh đạo, quản lý chuyển đổi số cho người đứng đầu các cơ quan, tổ chức, Giám đốc điều hành các doanh nghiệp;D;;;;;;;;;;;;;;;;;
34;VII.5.Văn hóa đổi mới sáng tạo;VII.5;Đổi mới sáng tạo được hiểu là gì theo Luật số 93/2025/QH của Quốc hội: Luật khoa học, công nghệ và đổi mới sáng tạo?;Là hoạt động tạo ra sản phẩm mới, dịch vụ mới, quy trình mới, mô hình kinh doanh mới hoặc cải tiến đáng kể so với sản phẩm, dịch vụ, quy trình, mô hình kinh doanh đã có;Là việc tạo ra và triển khai các thành tựu khoa học trong hoạt động sản xuất, kinh doanh nhằm nâng cao hiệu quả kinh tế, cải thiện năng suất lao động và chất lượng sản phẩm, hàng hóa;Là việc nghiên cứu và phát triển các giải pháp kỹ thuật, công nghệ và tổ chức sản xuất nhằm nâng cao hiệu quả hoạt động của doanh nghiệp, cải thiện chất lượng sản phẩm và tăng khả năng cạnh tranh trên thị trường;Là việc ứng dụng các thành tựu khoa học và phương thức quản lý trong sản xuất và cung ứng dịch vụ nhằm nâng cao hiệu quả kinh tế;A;Luật số 93/2025/QH;Điều 3;;;;;;;;;;;;;;;
35;VII.5.Văn hóa đổi mới sáng tạo;VII.5;Đâu là những thách thức chủ yếu cản trở ngân hàng trong quá trình thực hiện chuyển đổi số?;Rào cản về văn hóa, nhận thức, hạn chế về nguồn nhân lực số và hạ tầng công nghệ thông tin chưa đáp ứng yêu cầu;Sự gia tăng các quy định bảo mật khiến doanh nghiệp không thể triển khai công nghệ mới;Chi phí đầu tư công nghệ làm giảm lợi nhuận và không thể phục hồi;Dư thừa nguồn nhân lực có kỹ năng số gây khó khăn trong phân công công việc;A;Nghị quyết 57-NQ/TW (2024), phần II và Quyết định 749/QĐ-TTg (2020), mục III;Phần II và Mục III;;;;;;;;;;;;;;;
36;VII.5.Văn hóa đổi mới sáng tạo;VII.5;"Tại sao việc chuyển sang mô hình ""Agile Banking"" lại được coi là một cuộc cách mạng về văn hóa doanh nghiệp chứ không chỉ là thay đổi sơ đồ tổ chức?";Vì mô hình này buộc nhân viên phải làm việc nhiều giờ hơn mỗi ngày.;Vì mô hình này đòi hỏi sự thay đổi trong tư duy: từ kiểm soát sang trao quyền, từ cục bộ sang cộng tác, và từ sợ sai sang thử nghiệm;Vì mô hình này giúp ngân hàng cắt giảm toàn bộ chi phí dành cho các hoạt động văn hóa, văn nghệ;Vì mô hình này chỉ tập trung vào việc thay đổi các phần mềm máy tính hiện có.;B;Banking 4.0. BankingEverywhere, Never at a Bank;148 - 152;;;;;;;;;;;;;;;
37;VII.5.Văn hóa đổi mới sáng tạo;VII.5;Yếu tố nào có thể là rào cản mạnh mẽ nhất đối với một văn hóa số lành mạnh trong ngân hàng?;Sự thiếu hụt về vốn đầu tư công nghệ;Các quy định pháp lý khắt khe của ngành;Tư duy và hành vi cục bộ;Sự cạnh tranh từ các công ty khởi nghiệp Fintech;C;Banking 4.0. BankingEverywhere, Never at a Bank https://www.mckinsey.com/capabilities/tech-and-ai/our-insights/culture-for-a-digital-age#/;148 - 152;;;;;;;;;;;;;;;
38;VII.5.Văn hóa đổi mới sáng tạo;VII.5;"Trong văn hoá chuyển đổi số, việc ""kết hợp các thế hệ nhân sự khác nhau"" nhằm mục đích gì?";Để cắt giảm chi phí lương bằng cách sử dụng nhân sự thực tập;Để tạo ra một kho tri thức số tận dụng cả kỹ năng số và kinh nghiệm thực tiễn;Để tạo ra sự cạnh tranh giữa nhân viên cũ và mới;Để làm hài lòng các quy định về đa dạng về độ tuổi của nhà nước và chính phủ;B;Banking 5.0 How fintech will change traditional banks in the new normal post pandemic;59-60;;;;;;;;;;;;;;;
39;VII.5.Văn hóa đổi mới sáng tạo;VII.5; Trình độ tiếp thu và vận dụng kiến thức khoa học, hệ thống kiến thức được con người phát minh, nhận thức và được tích lũy lại, bổ sung nâng cao và không ngừng đổi mới qua các thế hệ được coi là yếu tố cấu thành nên văn hoá nào?;Văn hoá tinh thần;Văn hoá vật chất;Văn hoá đổi mới sáng tạo;Vừa là văn hoá vật chất, vừa là văn hoá tinh thần;A;Giáo trình văn hoá doanh nghiệp (PGS.TS. Đỗ Thị Phi Hoài) ;Mục 1.2;;;;;;;;;;;;;;;
40;VII.5.Văn hóa đổi mới sáng tạo;VII.5;Văn hoá doanh nghệp có những tác động tích cực nào tới sự phát triển của doanh nghiệp?;Văn hóa doanh nghiệp tạo nên phong thái của doanh nghiệp,giúp phân biệt doanh nghiệp này với doanh nghiệp khác;Văn hóa doanh nghiệp khích lệ quá trình đổi mới và sáng chế;Văn hóa doanh nghiệp tạo nên lực hướng tâm cho toàn doanh nghiệp;Cả 3 đáp án trên;D;Giáo trình văn hoá doanh nghiệp (PGS.TS. Đỗ Thị Phi Hoài) ;Mục 2.3;;;;;;;;;;;;;;;
41;VII.5.Văn hóa đổi mới sáng tạo;VII.5;Theo Quyết định số 411/QĐ-TTg ngày 31/3/2022 Phê duyệt Chiến lược quốc gia phát triển kinh tế số và xã hội số đến năm 2025, định hướng đến năm 2030, văn hoá số được đặc trưng bởi thước đo nào sau đây?;Số lượng thiết bị thông minh (điện thoại, máy tính) mà người dân sở hữu.;Tốc độ đường truyền mạng cáp quang và mạng di động tại các địa phương.;Mức độ sử dụng dịch vụ công trực tuyến, mức độ sử dụng dịch vụ số trên mạng, mức độ sử dụng các dịch vụ y tế số, giáo dục số của người dân;Tổng số lượng các ứng dụng di động được phát triển bởi các doanh nghiệp trong nước.;C;Quyết định số 411/QĐ-TTg ngày 31/3/2022;III. Mục 2;;;;;;;;;;;;;;;
42;VII.5.Văn hóa đổi mới sáng tạo;VII.5;"Theo Quyết định số 749/QĐ-TTg Phê duyệt ""Chương trình Chuyển đổi số quốc gia đến năm 2025, định hướng đến năm 2030"", trong chuyển đổi số, cần tạo dựng và phát triển văn hoá gì để thúc đẩy yếu tố thể chế và công nghệ số?";Hình thành văn hoá chấp nhận và thử nghiệm cái mới;Hình thành văn số gắn với bảo vệ văn hoá và giá trị đạo đức của con người;Ưu tiên duy trì văn hóa làm việc theo quy trình sẵn có để đảm bảo tính kiểm soát và hạn chế tối đa sai sót công nghệ;Xây dựng văn hóa làm việc độc lập, khép kín giữa các bộ phận để bảo mật thông tin tuyệt đối và tránh sự can thiệp của các bên thứ ba;A;Quyết định số 749/QĐ-TTg ngày 3/6/2020;Mục III. 3;;;;;;;;;;;;;;;
43;VII.6.Đạo đức nghề nghiệp trong môi trường số;VII.6;"Theo Bộ chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ ngân hàng, chuẩn mực ""Sự cẩn trọng"" yêu cầu cán bộ ngân hàng KHÔNG được thực hiện hành vi nào sau đây khi xử lý nghiệp vụ trên môi trường số? ";Lường đoán kỹ mọi rủi ro để phòng ngừa. ;Làm tắt, bỏ qua các bước trong quy trình nghiệp vụ. ;Thận trọng trong giao tiếp và kỷ luật phát ngôn. ;Tự giác chịu sự giám sát, kiểm soát theo quy định.;B;Bộ chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ ngân hàng (Ban hành kèm theo Quyết định số 11/QĐ-HHNH ngày 25/02/2019 của Hội đồng Hiệp hội Ngân hàng Việt Nam);Điều 4, Khoản 2, điểm b ;;;;;;;;;;;;;;;
44;VII.6.Đạo đức nghề nghiệp trong môi trường số;VII.6;Trong bối cảnh chuyển đổi số, chuẩn mực đạo đức nào khuyến khích cán bộ rèn luyện khả năng thích ứng và không ngừng cải tiến phương pháp làm việc? ;Tính tuân thủ. ;Sự liêm chính. ;Tính chủ động, sáng tạo, thích ứng. ;Sự tận tâm và chuyên cần.;C;Bộ chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ ngân hàng (Ban hành kèm theo Quyết định số 11/QĐ-HHNH ngày 25/02/2019 của Hội đồng Hiệp hội Ngân hàng Việt Nam);Điều 4, Khoản 5, điểm a ;;;;;;;;;;;;;;;
45;VII.6.Đạo đức nghề nghiệp trong môi trường số;VII.6;Khi khai thác dữ liệu số, cán bộ ngân hàng phải đảm bảo nguyên tắc nào theo Chiến lược dữ liệu ngành Ngân hàng đến năm 2030? ;Việc thu thập và chia sẻ dữ liệu phải tôn trọng quyền của chủ sở hữu dữ liệu;Ưu tiên khai thác tối đa dữ liệu mà không cần bảo vệ dữ liệu cá nhân. ;Chia sẻ dữ liệu công khai không cần tuân thủ an ninh mạng. ;Thu thập dữ liệu nhiều lần cho cùng một mục đích để đối chiếu.;A;Chiến lược dữ liệu ngành Ngân hàng đến năm 2030 (Quyết định số 3580/QĐ-NHNN ngày 03/11/2025);Quan điểm xây dựng chiến lược số 5, Mục I;;;;;;;;;;;;;;;
46;VII.6.Đạo đức nghề nghiệp trong môi trường số;VII.6;Theo Chiến lược dữ liệu ngành Ngân hàng đến năm 2030, nguyên tắc “Công khai và minh bạch” yêu cầu dữ liệu phải đảm bảo điều gì? ;Chỉ cung cấp thông tin cho cán bộ lãnh đạo cấp cao. ;Bảo mật tuyệt đối, không chia sẻ cho bất kỳ bên thứ ba nào. ;Bình đẳng trong việc tiếp cận và sử dụng theo quy định pháp luật. ;Tự do chia sẻ dữ liệu khách hàng mà không cần quy trình;C;Chiến lược dữ liệu ngành Ngân hàng đến năm 2030 (Quyết định số 3580/QĐ-NHNN ngày 03/11/2025);Mục III, Khoản 2 (Nguyên tắc Công khai và minh bạch);;;;;;;;;;;;;;;
